IDTrip,IDOriginTrip,IDAccount,TripName,Detail,Preparation,Booking,createDate,lastEdit,private,maxJoiner,started,count,IDCheckpoint,IDTrip,OrderC,createTime,time,locationName,detail,type
267d09a5-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2024-07-07 08:00:00","2024-07-07 08:00:00",0,10,1,0,310db747-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,1,"2024-07-07 08:00:00","2024-09-07 08:00:00",วัดลานบุญ,"Starting point",D
267d09a5-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2024-07-07 08:00:00","2024-07-07 08:00:00",0,10,1,0,310dc3a6-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,2,"2024-07-07 08:05:00","2024-09-07 08:30:00",ถวายสังฆทาน,"Activity 1",A
267d09a5-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2024-07-07 08:00:00","2024-07-07 08:00:00",0,10,1,0,310dc734-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,3,"2024-07-07 08:10:00","2024-09-07 09:30:00",วัดสังฆราชา,"Destination 2",D
267d09a5-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2024-07-07 08:00:00","2024-07-07 08:00:00",0,10,1,0,310dc95d-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,4,"2024-07-07 08:15:00","2024-09-07 10:00:00",ถวายสังฆทาน,"Activity 2",A
267d09a5-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2024-07-07 08:00:00","2024-07-07 08:00:00",0,10,1,0,310dcb81-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,5,"2024-07-07 08:20:00","2024-09-07 12:00:00",กินข้าวเที่ยง,Gather,G
267d09a5-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2024-07-07 08:00:00","2024-07-07 08:00:00",0,10,1,0,310dcd3a-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,6,"2024-07-07 08:25:00","2024-09-07 13:30:00",วัดลาดกระบัง,"Destination 3",D
267d09a5-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2024-07-07 08:00:00","2024-07-07 08:00:00",0,10,1,0,310dcee3-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,7,"2024-07-07 08:30:00","2024-09-07 14:00:00",ถวายสังฆทาน,"Activity 3",A
267d09a5-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d7f7-6cd2-11ef-9f47-04421a0238fa,"เที่ยว 3 วัดใน 1 วัน","เที่ยว 3 วัดใน 1 วัน",เตรียมตัวพร้อมถวายสังฆทาน,NM,"2024-07-07 08:00:00","2024-07-07 08:00:00",0,10,1,0,310dd0c7-6cd2-11ef-9f47-04421a0238fa,267d09a5-6cd2-11ef-9f47-04421a0238fa,8,"2024-07-07 08:35:00","2024-09-07 15:30:00",พูดคุยกัน,Gather,G
7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d94e-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BI,"2024-07-08 09:00:00","2024-07-08 09:00:00",0,10,0,0,82d4ffee-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,1,"2024-07-08 09:00:00","2024-09-08 09:00:00",นีราการ์เดนส์,"Destination 1",D
7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d94e-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BI,"2024-07-08 09:00:00","2024-07-08 09:00:00",0,10,0,0,82d50a1d-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,2,"2024-07-08 09:05:00","2024-09-08 09:30:00",รวมตัว,"Gather 1",G
7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d94e-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BI,"2024-07-08 09:00:00","2024-07-08 09:00:00",0,10,0,0,82d50c37-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,3,"2024-07-08 09:10:00","2024-09-08 11:00:00",สวนคุณเล็ก,"Destination 2",D
7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d94e-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BI,"2024-07-08 09:00:00","2024-07-08 09:00:00",0,10,0,0,82d50d94-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,4,"2024-07-08 09:15:00","2024-09-08 12:30:00",นีราการ์เดนส์,"Destination 3",D
7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d94e-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BI,"2024-07-08 09:00:00","2024-07-08 09:00:00",0,10,0,0,82d50ec3-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,5,"2024-07-08 09:20:00","2024-09-08 13:00:00",กินข้าวและพักผ่อน,Activity,A
7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,NULL,0e51d94e-6cd2-11ef-9f47-04421a0238fa,เที่ยวรอบเขื่อนขุลด่าน,เที่ยวรอบเขื่อนขุลด่าน,เตรียมตัวเที่ยวรอบเขื่อน,BI,"2024-07-08 09:00:00","2024-07-08 09:00:00",0,10,0,0,82d5107c-6cd2-11ef-9f47-04421a0238fa,7c6ad9a0-6cd2-11ef-9f47-04421a0238fa,6,"2024-07-08 09:25:00","2024-09-08 14:30:00",รวมตัวเดินทาง,"Gather 2",G
